id,name,classYear,decision,criticalIssues,majorIssues,minorIssues,topIssues,needsSubstantiveEditFields,minimalEditFields,optionalPolishFields,recommendedAction
alex-machaskee-2010,Alex Machaskee,2010,pass-as-is,0,0,0,,,,pronunciation,Can pass as-is for current copy triage.
august-pust-2010,August Pust,2010,pass-as-is,0,0,0,,,,pronunciation,Can pass as-is for current copy triage.
dr-dieu-thuc-do-2010,Dr. Dieu Thuc Do,2010,pass-as-is,0,0,0,,,,pronunciation,Can pass as-is for current copy triage.
helen-karpinski-1899-2002-2010,Helen Karpinski (1899 – 2002),2010,pass-as-is,0,0,1,DISPLAY_NAME_LIFE_DATES,,,displayName; pronunciation,Can pass for current copy triage; optional polish remains for accessibility/internal labels.
irene-morrow-2010,Irene Morrow,2010,pass-as-is,0,0,0,,,,pronunciation,Can pass as-is for current copy triage.
jeanette-grasselli-brown-2010,Jeanette Grasselli Brown,2010,pass-as-is,0,0,0,,,,pronunciation,Can pass as-is for current copy triage.
leo-weidenthal-2010,Leo Weidenthal,2010,pass-as-is,0,0,0,,,,pronunciation,Can pass as-is for current copy triage.
lonnie-mccauley-2010,Lonnie McCauley,2010,pass-as-is,0,0,0,,,,pronunciation; archiveLeadText,Can pass as-is for current copy triage.
margaret-w-wong-2010,Margaret W. Wong,2010,pass-as-is,0,0,0,,,,pronunciation,Can pass as-is for current copy triage.
paramjit-singh-2010,Paramjit Singh,2010,pass-as-is,0,0,0,,,,pronunciation,Can pass as-is for current copy triage.
paul-sciria-2010,Paul Sciria,2010,pass-as-is,0,0,0,,,,pronunciation,Can pass as-is for current copy triage.
robert-j-haas-2010,Robert J. Haas,2010,pass-as-is,0,0,0,,,,pronunciation,Can pass as-is for current copy triage.
senator-george-voinovich-2010,Senator George Voinovich,2010,pass-as-is,0,0,0,,,,pronunciation,Can pass as-is for current copy triage.
albert-b-ratner-2011,Albert B. Ratner,2011,pass-as-is,0,0,0,,,,pronunciation,Can pass as-is for current copy triage.
gerald-m-quinn-2011,Gerald M. Quinn,2011,pass-as-is,0,0,0,,,,pronunciation,Can pass as-is for current copy triage.
