reviewAction,inducteeId,inducteeName,classYear,currentProfileUrl,alternateSourceUrl,sourceTitle,matchType,confidence,publishStatus
profile-alias-needs-review,ralph-j-perk-2011,Ralph J. Perk,2011,https://clevelandinternationalhalloffame.com/ralph-perk-2011/mayor-ralph-perk-2011/,https://clevelandinternationalhalloffame.com/mayor-ralph-perk-2011/,Mayor Ralph Perk – 2011,loose-name-class-compatible,0.86,do-not-publish-until-reviewed
safe-profile-alias-review,carolyn-balogh-2016-2016,Carolyn Balogh – 2016,2016,https://clevelandinternationalhalloffame.com/carolyn-balogh-2016/,https://clevelandinternationalhalloffame.com/induction-event-info/carolyn-balogh/,Carolyn Balogh,harvest-manifest-profile-url,0.98,do-not-publish-until-reviewed
safe-profile-alias-review,eugenia-stolarczyk-2016-2016,Eugenia Stolarczyk – 2016,2016,https://clevelandinternationalhalloffame.com/eugenia-stolarczyk-2016/,https://clevelandinternationalhalloffame.com/induction-event-info/eugenia-stolarczyk/,Eugenia Stolarczyk,harvest-manifest-profile-url,0.98,do-not-publish-until-reviewed
safe-profile-alias-review,jack-kahl-2016,Jack Kahl,2016,https://clevelandinternationalhalloffame.com/jack-kahl-2016/,https://clevelandinternationalhalloffame.com/induction-event-info/jack-kahl/,Jack Kahl,harvest-manifest-profile-url,0.98,do-not-publish-until-reviewed
safe-profile-alias-review,khalid-samad-2016-2016,Khalid Samad – 2016,2016,https://clevelandinternationalhalloffame.com/khalid-samad-2016/,https://clevelandinternationalhalloffame.com/induction-event-info/khalid-samad/,Khalid Samad,harvest-manifest-profile-url,0.98,do-not-publish-until-reviewed
profile-alias-needs-review,mohan-bafna-2016,Mohan Bafna,2016,https://clevelandinternationalhalloffame.com/mohan-bafna-2016/,https://clevelandinternationalhalloffame.com/induction-event-info/dr-mohan-bafna/,Dr. Mohan Bafna,loose-name,0.78,do-not-publish-until-reviewed
safe-profile-alias-review,rev-mikhail-mikhail-2016,Rev. Mikhail Mikhail,2016,https://clevelandinternationalhalloffame.com/rev-mikhail-mikhail/,https://clevelandinternationalhalloffame.com/induction-event-info/rev-mikhail-mikhail/,Rev. Mikhail Mikhail,harvest-manifest-profile-url,0.98,do-not-publish-until-reviewed
profile-alias-needs-review,rev-mikhail-mikhail-2016,Rev. Mikhail Mikhail,2016,https://clevelandinternationalhalloffame.com/rev-mikhail-mikhail/,https://clevelandinternationalhalloffame.com/reverend-mikhail-mikhail-2016/,Reverend Mikhail Mikhail – 2016,loose-name-class-compatible,0.86,do-not-publish-until-reviewed
safe-profile-alias-review,jim-craciun-2017,Jim Craciun,2017,https://clevelandinternationalhalloffame.com/jim-craciun/,https://clevelandinternationalhalloffame.com/inductees-europe/jim-craciun/,Jim Craciun,harvest-manifest-profile-url,0.98,do-not-publish-until-reviewed
safe-profile-alias-review,mona-alag-2017,Mona Alag,2017,https://clevelandinternationalhalloffame.com/mona-alag/,https://clevelandinternationalhalloffame.com/inductees/mona-alag/,Mona Alag,harvest-manifest-profile-url,0.98,do-not-publish-until-reviewed
safe-profile-alias-review,sam-kim-2017,Sam Kim,2017,https://clevelandinternationalhalloffame.com/sam-kim/,https://clevelandinternationalhalloffame.com/inductees-asia/sam-kim/,Sam Kim,harvest-manifest-profile-url,0.98,do-not-publish-until-reviewed
safe-profile-alias-review,wael-khoury-2017,Wael Khoury,2017,https://clevelandinternationalhalloffame.com/wael-khoury/,https://clevelandinternationalhalloffame.com/inductees-asia/wael-khoury/,Wael Khoury,harvest-manifest-profile-url,0.98,do-not-publish-until-reviewed
safe-profile-alias-review,ramesh-shah-2020,Ramesh Shah,2020,https://clevelandinternationalhalloffame.com/ramesh-shah/,https://clevelandinternationalhalloffame.com/inductees/ramesh-shah/,Ramesh Shah,harvest-manifest-profile-url,0.98,do-not-publish-until-reviewed
safe-profile-alias-review,le-nguyen-2026,Le Nguyen,2026,https://clevelandinternationalhalloffame.com/le-nguyen-class-of-2026-vietnames-heritage-cleveland-international-hall-of-fame/,https://clevelandinternationalhalloffame.com/le-nguyen/,Le Nguyen – Class of 2026,harvest-manifest-profile-url,0.98,do-not-publish-until-reviewed
