id,name,class_year,video_index,source_url,video_rights_approved,captions_approved,transcript_approved,video_kiosk_approved,media_notes
abby-mina-2018,Abby Mina,2018,1,https://www.youtube.com/embed/1KFtDD1w3lg?si=33wpD19AR3TwUf0g,,,,,
abby-mina-2018,Abby Mina,2018,2,https://www.youtube.com/embed/0KJhQyWFjDI?si=Tk8BykFmZBnJA6r9,,,,,
abby-mina-2018,Abby Mina,2018,3,https://www.youtube.com/embed/FwV6dXkUhnc?si=DeReCXnc4wqsLej6,,,,,
aklilu-demessie-2026,Aklilu Demessie,2026,1,https://www.youtube.com/embed/Nlcx5vaC37I?feature=oembed,,,,,
akram-boutros-2019,Akram Boutros,2019,1,https://www.youtube.com/embed/C6EuNqGZH5E,,,,,
ambassador-edward-f-crawford-2024,Ambassador Edward F. Crawford,2024,1,https://www.youtube.com/embed/P34omi5XUiY?feature=oembed,,,,,
anda-cook-2022,Anda Cook,2022,1,https://www.youtube.com/embed/-jbd_GOy7hk,,,,,
andy-chakalis-2026,Andy Chakalis,2026,1,https://www.youtube.com/embed/bS3656smMfM?feature=oembed,,,,,
andy-fedynsky-2026,Andy Fedynsky,2026,1,https://www.youtube.com/embed/Kp2oRe3w1EM?feature=oembed,,,,,
arnie-de-la-porte-2016-2016,Arnie de la Porte,2016,1,https://www.youtube.com/embed/jXo9xEwZ4JQ?si=5LfNdq_x7V4F6F_W,,,,,
arnie-de-la-porte-2016-2016,Arnie de la Porte,2016,2,https://www.youtube.com/embed/QEdXti9t8jE?si=dLFTXDvztiaa5QZg,,,,,
arnie-de-la-porte-2016-2016,Arnie de la Porte,2016,3,https://www.youtube.com/embed/hmsfn1_1Kpg?si=xem--CWQj73ccYlq,,,,,
atul-mehta-2018,Atul Mehta,2018,1,https://www.youtube.com/embed/4pafixyd1zU?si=quwk5rTUCcOL_Bze,,,,,
atul-mehta-2018,Atul Mehta,2018,2,https://www.youtube.com/embed/EATzGX8chuI?si=Ue-kri8xqYGDxeem,,,,,
basil-russo-2017,Basil Russo,2017,1,https://www.youtube.com/embed/RzY-lrL0HWo?si=Lwvg0GNPjZhwBg6_,,,,,
berj-shakarian-2020,Berj Shakarian,2020,1,https://www.youtube.com/embed/Engy3m5Efcc,,,,,
berj-shakarian-2020,Berj Shakarian,2020,2,https://www.youtube.com/embed/2KBxzdgiqJM,,,,,
beverly-kerecman-2025,Beverly Kerecman,2025,1,https://www.youtube.com/embed/4jjbyRcwk3Y?feature=oembed,,,,,
bill-miller-2017,Bill Miller,2017,1,https://www.youtube.com/embed/7AjUc16ao90?si=SndzALuG7bh7NkcO,,,,,
bishop-anthony-pilla-2015,Bishop Anthony Pilla,2015,1,https://www.youtube.com/embed/PpXIVZKq49U?si=DnGFkZUF5gKmUPmZ,,,,,
bishop-anthony-pilla-2015,Bishop Anthony Pilla,2015,2,https://www.youtube.com/embed/KMVo49Zi-94?si=aH0AhM3kt1iGfG5_,,,,,
branka-malinar-2025,Branka Malinar,2025,1,https://www.youtube.com/embed/BKuCcyGsdek?feature=oembed,,,,,
carl-robson-2022,Carl Robson,2022,1,https://www.youtube.com/embed/3Zl6-HYV89Q,,,,,
carolyn-balogh-2016-2016,Carolyn Balogh,2016,1,https://www.youtube.com/embed/O-r4oYPcUYc?si=MP3p245zyl6GsEbq,,,,,
carolyn-balogh-2016-2016,Carolyn Balogh,2016,2,https://www.youtube.com/embed/qzHokEDkXQc?si=OnOUWGKQf5bpxG9E,,,,,
carolyn-balogh-2016-2016,Carolyn Balogh,2016,3,https://www.youtube.com/embed/e_C-YpIWjt8?si=Mrlx5ERnLjVLNT47,,,,,
catherine-jorgensen-mccutcheon-2026,Catherine Jorgensen McCutcheon,2026,1,https://www.youtube.com/embed/e3gWQ-kdEF4?feature=oembed,,,,,
david-gilbert-2025,David Gilbert,2025,1,https://www.youtube.com/embed/XeheG0iGICs?feature=oembed,,,,,
dick-pogue-2015,Dick Pogue,2015,1,https://www.youtube.com/embed/7MkiB5FNQ_g?si=bsF0ZWQqhzDU5y70,,,,,
dick-pogue-2015,Dick Pogue,2015,2,https://www.youtube.com/embed/qtbU6qlpxRE?si=TuHMRsVv0cw28iim,,,,,
dick-russ-2015,Dick Russ,2015,1,https://www.youtube.com/embed/ivlrvgM81r8?si=LAKqxWbM5DTNInmc,,,,,
dick-russ-2015,Dick Russ,2015,2,https://www.youtube.com/embed/xJ9n1QOUafg?si=D3NIkcJAB-C0FoKP,,,,,
dona-brady-2024,Dona Brady,2024,1,https://www.youtube.com/embed/P34omi5XUiY?feature=oembed,,,,,
dr-eugene-jordan-2024,Dr. Eugene Jordan,2024,1,https://www.youtube.com/embed/P34omi5XUiY?feature=oembed,,,,,
erika-puussaar-2024,Erika Puussaar,2024,1,https://www.youtube.com/embed/P34omi5XUiY?feature=oembed,,,,,
eugenia-stolarczyk-2016-2016,Eugenia Stolarczyk,2016,1,https://www.youtube.com/embed/7LmK-_kcUJs?si=Paw_snmOAy0D7y4d,,,,,
eugenia-stolarczyk-2016-2016,Eugenia Stolarczyk,2016,2,https://www.youtube.com/embed/IbJbwBpHWgs?si=9Lkd4rIJNTahfAr1,,,,,
eugenia-stolarczyk-2016-2016,Eugenia Stolarczyk,2016,3,https://www.youtube.com/embed/Tsl-t9x0Ub0?si=4PlHf81cjI1AlUTu,,,,,
eugenia-stolarczyk-2016-2016,Eugenia Stolarczyk,2016,4,https://www.youtube.com/embed/uw_NYpsccxM?si=3K74fLqmpr559H0-,,,,,
georgine-welo-2023,Georgine Welo,2023,1,https://www.youtube.com/embed/JAWjKTg5nRg,,,,,
honorable-jose-a-villanueva-2015,Honorable José A. Villanueva,2015,1,https://www.youtube.com/embed/7Jj4sizisoM?si=eqzIRex4yon1Km3_,,,,,
honorable-jose-a-villanueva-2015,Honorable José A. Villanueva,2015,2,https://www.youtube.com/embed/i5FJexABnHI?si=KY6AQyNWMYQhencV,,,,,
ingrida-bublys-2019,Ingrida Bublys,2019,1,https://www.youtube.com/embed/ObIi5VXcP7Q,,,,,
jack-kahl-2016,Jack Kahl,2016,1,https://www.youtube.com/embed/L0fLgzezWTw?si=G0G4Rk5bvohvVOw_,,,,,
jack-kahl-2016,Jack Kahl,2016,2,https://www.youtube.com/embed/dW7qMIULLko?si=TjGiOsKIkgyT2WzM,,,,,
jack-kahl-2016,Jack Kahl,2016,3,https://www.youtube.com/embed/eKdfG3zz9Os?si=ImEeFHgzcCvxx-_j,,,,,
jim-craciun-2017,Jim Craciun,2017,1,https://www.youtube.com/embed/XZh7vcFsUns?si=bQd8xuGZUYvAYYxi,,,,,
